DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
01M063,THE STAR ACADEMY - P.S.63,All Grades,2013,EP,59,290,26,44.1,24,40.7,9,15.3,0,0,9,15.3
01M063,THE STAR ACADEMY - P.S.63,All Grades,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,All Grades,2014,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,All Grades,2014,EP,48,292,15,31.3,22,45.8,11,22.9,0,0,11,22.9
01M063,THE STAR ACADEMY - P.S.63,All Grades,2014,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,All Grades,2015,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,All Grades,2015,EP,45,295,19,42.2,13,28.9,12,26.7,1,2.2,13,28.9
01M063,THE STAR ACADEMY - P.S.63,All Grades,2015,Former ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,3,2013,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,3,2013,EP,28,288,16,57.1,9,32.1,3,10.7,0,0,3,10.7
01M064,P.S. 064 ROBERT SIMON,3,2014,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,3,2014,EP,38,288,20,52.6,12,31.6,6,15.8,0,0,6,15.8
01M064,P.S. 064 ROBERT SIMON,3,2014,Former ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,3,2015,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,3,2015,EP,35,295,11,31.4,17,48.6,7,20,0,0,7,20
01M064,P.S. 064 ROBERT SIMON,3,2015,Former ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,4,2013,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,4,2013,EP,39,279,22,56.4,15,38.5,2,5.1,0,0,2,5.1
01M064,P.S. 064 ROBERT SIMON,4,2014,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,4,2014,EP,29,287,13,44.8,12,41.4,4,13.8,0,0,4,13.8
01M064,P.S. 064 ROBERT SIMON,4,2014,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,4,2015,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,4,2015,EP,35,291,12,34.3,19,54.3,4,11.4,0,0,4,11.4
01M064,P.S. 064 ROBERT SIMON,4,2015,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,5,2013,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,5,2013,EP,35,299,11,31.4,16,45.7,7,20,1,2.9,8,22.9
01M064,P.S. 064 ROBERT SIMON,5,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,5,2014,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,5,2014,EP,34,289,15,44.1,13,38.2,6,17.6,0,0,6,17.6
01M064,P.S. 064 ROBERT SIMON,5,2015,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,5,2015,EP,32,286,16,50,14,43.8,2,6.3,0,0,2,6.3
01M064,P.S. 064 ROBERT SIMON,5,2015,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,All Grades,2013,ELL,7,268,6,85.7,1,14.3,0,0,0,0,0,0
01M064,P.S. 064 ROBERT SIMON,All Grades,2013,EP,102,288,49,48,40,39.2,12,11.8,1,1,13,12.7
01M064,P.S. 064 ROBERT SIMON,All Grades,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,All Grades,2014,ELL,8,277,5,62.5,2,25,1,12.5,0,0,1,12.5
01M064,P.S. 064 ROBERT SIMON,All Grades,2014,EP,101,288,48,47.5,37,36.6,16,15.8,0,0,16,15.8
01M064,P.S. 064 ROBERT SIMON,All Grades,2014,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,All Grades,2015,ELL,7,274,5,71.4,2,28.6,0,0,0,0,0,0
01M064,P.S. 064 ROBERT SIMON,All Grades,2015,EP,102,291,39,38.2,50,49,13,12.7,0,0,13,12.7
01M064,P.S. 064 ROBERT SIMON,All Grades,2015,Former ELL,8,305,2,25,3,37.5,3,37.5,0,0,3,37.5
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2013,ELL,6,278,3,50,3,50,0,0,0,0,0,0
